"","Subject","ExperimentName","absmoney1","rewlos","Srewlos","card.RESP","ydata","cardname","stim","time"
"1",2049,"playorpass - Version 1",NA,0,0,NA,2,"D",4,2015-09-17
"2",2049,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-17
"3",2049,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-17
"4",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"5",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"6",2049,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-17
"7",2049,"playorpass - Version 1",NA,0,0,3,2,"D",4,2015-09-17
"8",2049,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-17
"9",2049,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-17
"10",2049,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-17
"11",2049,"playorpass - Version 1",0,0,0,1,1,"C",3,2015-09-17
"12",2049,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-17
"13",2049,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-17
"14",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"15",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"16",2049,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-17
"17",2049,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-17
"18",2049,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-17
"19",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"20",2049,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-17
"21",2049,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-17
"22",2049,"playorpass - Version 1",-50,-0.5,-1,1,1,"A",1,2015-09-17
"23",2049,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-17
"24",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"25",2049,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-17
"26",2049,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-17
"27",2049,"playorpass - Version 1",NA,0,0,3,2,"D",4,2015-09-17
"28",2049,"playorpass - Version 1",NA,0,0,3,2,"B",2,2015-09-17
