"","ID","Fit_sep_IGT_fitted_Arew","Fit_sep_IGT_fitted_Apun","Fit_sep_IGT_fitted_K","Fit_sep_IGT_fitted_betaF","Fit_sep_IGT_fitted_betaP","Fit_sep_SIGT_v1_fitted_Arew","Fit_sep_SIGT_v1_fitted_Apun","Fit_sep_SIGT_v1_fitted_K","Fit_sep_SIGT_v1_fitted_betaF","Fit_sep_SIGT_v1_fitted_betaP","Fit_sep_SIGT_v2_fitted_Arew","Fit_sep_SIGT_v2_fitted_Apun","Fit_sep_SIGT_v2_fitted_K","Fit_sep_SIGT_v2_fitted_betaF","Fit_sep_SIGT_v2_fitted_betaP","Fit_sep_SIGT_v3_fitted_Arew","Fit_sep_SIGT_v3_fitted_Apun","Fit_sep_SIGT_v3_fitted_K","Fit_sep_SIGT_v3_fitted_betaF","Fit_sep_SIGT_v3_fitted_betaP"
"52",7054,0.092299738439671,0.181511603552873,0.111867886417199,0.927742828563544,2.14440718720913,0.000974452150505891,0.365034834465753,0.0459054381585579,0.744729017965807,0.599736837233924,0.0011450351026643,0.321385767248459,0.0464758621080991,0.803749116754754,0.613284757475359,0.00142055138089613,0.409853252181072,0.0447519768909522,0.353251363071157,0.738633060271673
"53",7055,0.33392308432378,0.0221372222699344,0.0444991704044532,1.66266462918103,1.4947309621782,0.00611831612878763,0.391529236783279,0.0448493144820393,1.31680775963418,0.26148555295685,0.0069122432472624,0.355574044345226,0.0454357554077604,1.40588309890387,0.359350923408763,0.0063889651895561,0.464845358369931,0.0423757918673558,1.0077896192346,0.301696684189864
"54",7056,0.133832650403148,0.197211855169232,0.0688655965269353,1.82600013663282,1.45509511717028,0.0012752534706138,0.389650719412717,0.054696877495391,0.863701178837087,2.43450081615344,0.00164882085188451,0.350107275809606,0.0537929212488717,0.919246635587727,2.42128352541403,0.00169164805953062,0.45455027548038,0.0584139750800581,0.497282363950671,2.56218049118486
"55",7057,0.0561272512326946,0.0926286238783118,0.0925108592323324,0.609114723000857,1.81664870795395,0.000414857033530818,0.41501968792842,0.0463041891133579,0.92268042481282,0.606583056409505,0.000465000790366992,0.389815817504791,0.046797036520945,0.94905511399696,0.624208251489495,0.000592919550188247,0.439076592304236,0.045894975938111,0.438967643504954,0.830493160682685
"56",7058,0.149213630291851,0.0271159486293867,0.0631862520259571,1.72206867097365,-0.126253209041063,0.0088504144741305,0.354966607266306,0.0456839432204616,1.09646068899253,1.04179100814193,0.00937748777833241,0.306796524229889,0.0466783288680033,1.23580455152116,1.21001814709926,0.00907107209431306,0.397120497783798,0.0435675562097052,0.913984552588776,1.01612773263525
"57",7059,0.308167381467264,0.0950330930574112,0.0557413583032178,0.994121371365067,0.321737920438563,0.00328846074374998,0.408989753141669,0.0434108902609455,1.35704877453903,0.541976961194534,0.00370937720498077,0.378914870429045,0.0443682872064976,1.43594160676025,0.563954388619323,0.00369346119839511,0.48153148224656,0.0391011953660073,1.00791804445009,0.668579420090984
"58",7060,0.13248640757574,0.19065159487468,0.0397243494779588,1.49006148029488,2.00592787704451,0.000742821697420172,0.405364597399785,0.0523829300911249,0.655952248527114,2.14951415968667,0.00102538085527436,0.370307956419798,0.0517531873883852,0.682490373137028,2.13668055346201,0.000884672246905903,0.477554782874572,0.0551891852743587,0.55347628746844,2.16024618043324
"59",7061,0.116054295900524,0.1455163215987,0.0273526023025816,1.51584570036227,2.28683517213884,0.00498973328282502,0.377342746979757,0.0504811591778489,1.00592375932681,1.39314538364693,0.00741714068783589,0.34399279549598,0.0497385880213991,1.06453802442887,1.29713898309169,0.0052998440749927,0.448729270197956,0.0521460458654639,0.698377468880605,1.45934793035739
"60",7062,0.448680922871588,0.107820791421709,0.0655111558092964,1.77243879537974,-0.164814653546367,0.00224049772267535,0.490528795080953,0.0467832523720484,1.59311222084804,0.626760678468618,0.00225907300408218,0.481539089061606,0.0472210778232861,1.65488519430803,0.682274041463791,0.00254527915684238,0.562745126966184,0.0457633744151686,1.16273601840021,0.727432107071049
"61",7063,0.229519773839181,0.192613696462295,0.0639280508836152,2.16548245143942,0.835541019045186,0.00152199758775955,0.394427700034565,0.0489540460307517,1.40591593482199,2.15681159703666,0.00172914585209387,0.35612106464039,0.0488854051400985,1.50581411538769,2.14449762183786,0.00169148293689857,0.444104739288696,0.0481607859098186,1.0175138000489,2.27328486565994
"62",7064,0.218683212502682,0.040013039142251,0.0206691002411153,1.36269004671592,3.15536370689892,0.006163279063067,0.411895960453262,0.048966582218405,0.872564282683038,1.48030068373622,0.0101443855821044,0.384816802318695,0.0487677300765245,0.884482953984077,1.32436744345726,0.00666096582092858,0.503763048293266,0.0498085162250743,0.579507365951114,1.54234064938711
"63",7065,0.162973232124863,0.0385687821049178,0.0271484910646605,1.77305422278537,1.66305963301294,0.00985548096971727,0.376498858326894,0.0462983014130731,0.825325586513453,1.58919130731587,0.0123587919333758,0.332498285069294,0.0470283905561317,0.913496998725627,1.67397991456873,0.0100694696428017,0.428682774115577,0.0440918994165993,0.657603695607938,1.57632956215387
"64",7066,0.0847801229598239,0.0414357468780037,0.0560644986173242,1.69381510034886,-0.144160519894891,0.0012242405250078,0.367328748282382,0.0523287475872529,1.38195271802533,1.73945714866754,0.00143354048537828,0.330200401016695,0.0514751444726427,1.47743165495523,1.7176480867814,0.00144189691273154,0.41490813016807,0.0578982004188731,1.01734363137086,1.85147393675024
"65",7067,0.198834547862797,0.0796382150808305,0.0385043017266291,1.08420231458959,1.14601964364959,0.0161422435958666,0.383532063308493,0.0452767259512499,1.21145151223594,2.20792361344298,0.0189690452561271,0.341866250361205,0.0459744503403399,1.31200254808476,2.3832495336942,0.0147166790674063,0.43949448234482,0.042709974689725,0.925039416435249,2.32255244876573
"66",7068,0.0605811747657219,0.105220695868177,0.0493924454986454,0.630172737901222,0.598328910247495,0.00527534808106355,0.418389506510422,0.0467104032137815,0.899902297206576,1.08330249550983,0.0061171974239236,0.385130395789633,0.0473841087893537,0.958539493759892,1.15795998691313,0.0056808637279697,0.486445449721511,0.0459835923380173,0.681343932641228,1.09172963601087
