"","scale","correlation","r","lower","upper"
"76","basrewres","betaP vs theta",-0.0725654571989782,-0.406238490227329,0.248811848622001
"77","basrewres","betaF vs theta",-0.181844734999171,-0.513548986792585,0.176695120781922
"78","basrewres","betaF vs betaP",0.315092615930319,-0.0626457223946684,0.658900616794908
"79","basrewres","K vs theta",0.0230097957924835,-0.600968126493186,0.600223001845268
"80","basrewres","K vs betaP",-0.118001395248416,-0.770296546894234,0.594666350980959
"81","basrewres","K vs betaF",-0.0230857718698965,-0.66748684548816,0.616399684391771
"82","basrewres","Apun vs theta",-0.195257926561152,-0.539798574012044,0.146292020520029
"83","basrewres","Apun vs betaP",0.313136271967755,-0.016979940929822,0.624824779879618
"84","basrewres","Apun vs betaF",0.459198128365446,0.121830658394004,0.776543810240142
"85","basrewres","Apun vs K",-0.0255414048161895,-0.62588279062879,0.564296841727042
"86","basrewres","Arew vs theta",0.0575399337779145,-0.327017096940617,0.424467260145878
"87","basrewres","Arew vs betaP",-0.100809889118067,-0.48138421413534,0.284661158466861
"88","basrewres","Arew vs betaF",-0.253950474320301,-0.649315114537497,0.166532590902415
"89","basrewres","Arew vs K",0.300316900779762,-0.315624163672501,0.880631902414696
"90","basrewres","Arew vs Apun",-0.158459519464853,-0.53974807497958,0.237871226405539
"91","basdrive","betaP vs theta",-0.179852454316,-0.51955931158354,0.156713846600626
"92","basdrive","betaF vs theta",-0.375349666315429,-0.756982931763776,0.00867242466199235
"93","basdrive","betaF vs betaP",0.296977307371651,-0.082999638653194,0.647973852302111
"94","basdrive","K vs theta",0.136403021147939,-0.506418352953643,0.672374314814146
"95","basdrive","K vs betaP",-0.0799729138297631,-0.764248318516288,0.589773287767312
"96","basdrive","K vs betaF",-0.0395970424050529,-0.662548925807197,0.595733787360141
"97","basdrive","Apun vs theta",-0.0907559970391814,-0.45851674654794,0.256516589611721
"98","basdrive","Apun vs betaP",0.349031128878346,0.0189058850967126,0.650985244505193
"99","basdrive","Apun vs betaF",0.395066927458194,0.0125667476918772,0.73852862497461
"100","basdrive","Apun vs K",0.00702966442284501,-0.581020759160619,0.612778736269309
"101","basdrive","Arew vs theta",0.287086091706681,-0.0766576488590662,0.641326721579259
"102","basdrive","Arew vs betaP",-0.0560227770323721,-0.445541823675554,0.301468260642122
"103","basdrive","Arew vs betaF",-0.313054338584692,-0.712591684575967,0.109442691842158
"104","basdrive","Arew vs K",0.328035650619471,-0.284660874380841,0.86653853461645
"105","basdrive","Arew vs Apun",-0.093968009785327,-0.486081996318072,0.288032210433447
"106","bastot","betaP vs theta",-0.0396740788701311,-0.364946654230098,0.282745433641279
"107","bastot","betaF vs theta",-0.282345848500718,-0.634710557403881,0.058870055395445
"108","bastot","betaF vs betaP",0.31342778403967,-0.0522968333509895,0.665874304956267
"109","bastot","K vs theta",0.0925942429673521,-0.502070724725199,0.651465234870743
"110","bastot","K vs betaP",-0.0875164772415686,-0.759678893708387,0.601992874305062
"111","bastot","K vs betaF",-0.0197957980504275,-0.670920350748474,0.604983903195562
"112","bastot","Apun vs theta",-0.0139906039651244,-0.344207989554753,0.317021692132502
"113","bastot","Apun vs betaP",0.342505430352803,0.0068487214303315,0.646914060854277
"114","bastot","Apun vs betaF",0.42047280660452,0.0615531154591912,0.75434117274849
"115","bastot","Apun vs K",-0.00406655083548694,-0.586097552940153,0.614801180551205
"116","bastot","Arew vs theta",0.161142329900276,-0.213881578207827,0.509100261363353
"117","bastot","Arew vs betaP",-0.0703115007705369,-0.458588560829787,0.297193585715347
"118","bastot","Arew vs betaF",-0.286621616444433,-0.682365251601599,0.138793180809194
"119","bastot","Arew vs K",0.331981194809207,-0.264933187554796,0.883497300442802
"120","bastot","Arew vs Apun",-0.126286624021017,-0.507334227037221,0.261793498954974
"121","masqGDD","betaP vs theta",-0.101160923677589,-0.38797045180438,0.191417640322631
"122","masqGDD","betaF vs theta",0.0920141794944171,-0.227724528354341,0.401578378696935
"123","masqGDD","betaF vs betaP",0.32576779438133,-0.0239944280320146,0.70048417218608
"124","masqGDD","K vs theta",-0.0108744775102282,-0.559231078864747,0.542314674748167
"125","masqGDD","K vs betaP",-0.0988812773775651,-0.785100010696997,0.595731200601872
"126","masqGDD","K vs betaF",-0.000843617624984572,-0.652759361038437,0.666489774156532
"127","masqGDD","Apun vs theta",0.167992257070712,-0.116790125731305,0.478714945473782
"128","masqGDD","Apun vs betaP",0.311468777919922,-0.0258765094949369,0.618648794934538
"129","masqGDD","Apun vs betaF",0.460992575485857,0.0928633495162083,0.772051337521254
"130","masqGDD","Apun vs K",-0.00419223459531325,-0.603134371008983,0.593808346443308
"131","masqGDD","Arew vs theta",-0.0137486778614366,-0.344115583496421,0.312858656144648
"132","masqGDD","Arew vs betaP",-0.103197619473074,-0.47307479274894,0.276554736233658
"133","masqGDD","Arew vs betaF",-0.24624431095719,-0.651253825947769,0.175499516894925
"134","masqGDD","Arew vs K",0.30543097810736,-0.296740066115147,0.870991173416422
