"","parameter","session","estimate"
"1","Apun",1,0.0738350623158455
"2","Apun",2,0.0802401921507456
"3","Arew",1,0.193663497573742
"4","Arew",2,0.106906464033917
"5","K",1,0.0803810156009456
"6","K",2,0.0551955570435945
"7","betaF",1,1.15755062675998
"8","betaF",2,1.4334187447559
"9","betaP",1,0.563584882518832
"10","betaP",2,1.08806846503464
