"","subjID","Fit_sep_sess1_Arew","Fit_sep_sess1_Apun","Fit_sep_sess1_K","Fit_sep_sess1_betaF","Fit_sep_sess1_betaP"
"1",2049,0.177935799670003,0.0774016501017453,0.0822452083228325,0.733671034853614,0.765582884398393
"2",2050,0.192712647214864,0.0831376954920302,0.0817357545849223,1.00987291404574,0.732282346216402
"3",2051,0.228285506578996,0.027034592416042,0.0824683525488677,1.04934102501872,0.774693252517176
"4",2052,0.197368924260691,0.119383644013503,0.083458693717722,2.01171249305417,0.413069982739728
"5",2053,0.241081429564186,0.0426552529885441,0.0672506567315893,1.68419817156809,2.18607302135558
"6",2054,0.211553147827552,0.0289856367871441,0.0924109046521596,0.820418791977824,-1.01386778020684
"7",2055,0.207205415456162,0.0316196930284242,0.0919504918751207,0.849106325246712,0.317223568367798
"8",2056,0.162092607605886,0.155237746737109,0.0846735947108842,0.691045593120903,0.449128853239526
"9",2057,0.139830204886488,0.158239535019231,0.0935815308400513,1.50246094617752,0.294602323435925
"10",2058,0.220262667296039,0.0790424132914608,0.103306848893891,1.36329807427127,1.10156043005004
"11",2060,0.255125192777605,0.0420970815021245,0.0958401222434533,1.63277484740798,1.62855769292773
"12",2061,0.148429686571127,0.143013345668098,0.0629540278993007,1.5573203501467,1.66159889229303
"13",2062,0.230886066225954,0.027104943088338,0.0869301627349216,0.648527661789343,0.198966533563229
"14",2063,0.182926546774819,0.0242541158195593,0.101130355470461,0.812163787978761,-1.07362112533806
"15",2064,0.214201297927019,0.168490977730458,0.0717042655791481,1.38045532208835,0.871063893851328
"16",2065,0.218252026139582,0.071253814575564,0.0818286276102612,1.00963643886292,-0.63425364027996
"17",2066,0.179923234778218,0.227039793438473,0.0894470968246499,1.02212351829791,0.669966281270425
"18",2067,0.203037709426013,0.0753344379674439,0.0891890527394764,1.82978601523435,0.47030268697789
"19",2068,0.148413808490596,0.126359359362378,0.0823086460168703,1.0793877882881,1.41698734664622
"20",2069,0.246537419228215,0.0641201694625921,0.0942429708628083,0.85366813411244,1.70095104946902
"21",2070,0.204888086649085,0.0532558774021965,0.0789902600208771,1.22815245043962,1.52310086521646
"22",2071,0.161051730272666,0.0925399605254335,0.085356220039212,0.537355100142759,0.198110341636581
"23",2072,0.162156108654435,0.243606386162724,0.0850323695363126,1.5303003503533,2.31374535418578
"24",2073,0.230947315312847,0.0412440586066434,0.0858363974337254,1.11272984445322,0.80776184261016
"25",2074,0.196864674090011,0.0662870562124246,0.089353095239382,1.68239282716614,0.746546218089772
"26",2075,0.207629031848989,0.0858800839210954,0.0879340536499449,1.51334450610348,0.151568442551032
"27",2076,0.214363299720443,0.0305775256292589,0.085927766286458,0.716607904714593,-0.468879596185371
"28",2077,0.242628030593976,0.0275763521201697,0.0877000554412028,1.47209782593861,0.458364706868521
"29",2078,0.136661268149365,0.0770963521066033,0.108377635871491,0.958375722091833,-1.96622442972237
"30",2079,0.257122595788674,0.128019407678532,0.0770297698598499,0.698310997753665,1.46988174424581
"31",2080,0.207186425458479,0.0723860031909687,0.0878905336644056,1.04840403210214,0.48629654893634
"32",2081,0.160320917736266,0.076790835921619,0.0925315565207163,1.9813058707107,0.365897216133465
"33",2082,0.188627829660314,0.0321208554379206,0.0919807541068633,1.06794406148769,-0.129067409806063
"34",2084,0.179587079365455,0.232404711823413,0.0681082683812742,1.52334782578815,1.23627178060431
"35",2085,0.162357525718193,0.11603375091491,0.0856447445960357,0.573759260232699,-0.360743982219387
"36",2086,0.25187396337494,0.0406593917829366,0.0725361283341761,2.10441086226308,1.94577387676415
"37",2087,0.1364688515464,0.173027452043979,0.0868392212695407,1.77010105365649,0.139536809012255
"38",2088,0.185087288093258,0.0674491398330504,0.0721949525393798,2.07818118843079,0.806204053141259
"39",2089,0.133628014989909,0.0498320054065243,0.087964377386545,0.973653784234734,0.283146864808186
"40",2090,0.181503387996487,0.0591798037325195,0.127280909130686,0.604444650577991,1.72248221168227
"41",2091,0.236556050921013,0.169663053614313,0.0882159781123414,2.39056865868747,0.197623190484564
"42",2092,0.174343723660358,0.0942986524674292,0.0852942374012536,1.1330415147712,0.411699763574745
"43",2093,0.21243965672288,0.0459439368018692,0.105935467188941,0.673125497773566,0.554251244490739
"44",2094,0.249460103476033,0.0644569939679651,0.0887789711196639,0.822755174509875,0.309921087458376
"45",2095,0.168896471664675,0.0455929119042362,0.0884828729057937,0.232550896492055,0.233114752062712
"46",2096,0.156891114360631,0.0909096033367177,0.0841539784543658,0.920515404469722,0.611394448054063
"47",2097,0.215766357089474,0.184100810927414,0.0897535818872079,1.91692075098934,0.395402861698437
"48",2098,0.23541665172097,0.0679948672362204,0.0795925034290666,0.789436856183513,0.367132350633128
"49",2099,0.197705123537281,0.137299148696096,0.0881601645426799,1.69035679436802,0.328885052416538
