"","cor_type","x","y","session","r","lower","upper","sig","estimate","estimate_lab","lower_lab","upper_lab","estimate_CI","SR_sort"
"144","SR-ORL","panas_pa","K",2,0.100387963742935,-0.02,0.24,"",0.1," .10","-.02",".24"," .10 [-.02,.24]",6
"145","SR-ORL","panas_pa","betaP",2,0.128494118346148,-0.04,0.31,"",0.13," .13","-.04",".31"," .13 [-.04,.31]",6
"146","SR-ORL","panas_pa","betaF",2,0.0448272463296422,-0.19,0.28,"",0.04," .04","-.19",".28"," .04 [-.19,.28]",6
"147","SR-ORL","panas_pa","Apun",2,-0.0232366726087494,-0.22,0.18,"",-0.02,"-.02","-.22",".18","-.02 [-.22,.18]",6
"148","SR-ORL","panas_pa","Arew",2,0.259404898554401,0.04,0.43,"*",0.26," .26",".04",".43"," .26 [.04,.43]",6
"149","SR-ORL","bis","K",2,0.109773820902207,-0.06,0.23,"",0.11," .11","-.06",".23"," .11 [-.06,.23]",5
"150","SR-ORL","bis","betaP",2,-0.106748163900267,-0.36,0.13,"",-0.11,"-.11","-.36",".13","-.11 [-.36,.13]",5
"151","SR-ORL","bis","betaF",2,0.131728548041717,-0.11,0.35,"",0.13," .13","-.11",".35"," .13 [-.11,.35]",5
"152","SR-ORL","bis","Apun",2,-0.111897942787572,-0.28,0.07,"",-0.11,"-.11","-.28",".07","-.11 [-.28,.07]",5
"153","SR-ORL","bis","Arew",2,-0.0562012657724876,-0.26,0.16,"",-0.06,"-.06","-.26",".16","-.06 [-.26,.16]",5
"154","SR-ORL","basrewres","K",2,-0.105638681922671,-0.31,0.15,"",-0.11,"-.11","-.31",".15","-.11 [-.31,.15]",4
"155","SR-ORL","basrewres","betaP",2,-0.0903206708807237,-0.3,0.16,"",-0.09,"-.09","-.30",".16","-.09 [-.30,.16]",4
"156","SR-ORL","basrewres","betaF",2,-0.0909539934081978,-0.29,0.12,"",-0.09,"-.09","-.29",".12","-.09 [-.29,.12]",4
