"","cor_type","x","y","session","r","lower","upper","sig","estimate","estimate_lab","lower_lab","upper_lab","estimate_CI","SR_sort"
"18","SR-Prop","masqAD","Good",0,-0.00649668275504725,-0.35,0.3,"",-0.01,"-.01","-.35",".30","-.01 [-.35,.30]",11
"19","SR-Prop","masqGDD","Bad",0,-0.130095364489003,-0.41,0.28,"",-0.13,"-.13","-.41",".28","-.13 [-.41,.28]",10
"20","SR-Prop","masqGDD","Good",0,0.0384946670089293,-0.23,0.3,"",0.04," .04","-.23",".30"," .04 [-.23,.30]",10
"21","SR-Prop","masqAA","Bad",0,-0.123756479548553,-0.43,0.15,"",-0.12,"-.12","-.43",".15","-.12 [-.43,.15]",9
"22","SR-Prop","masqAA","Good",0,-0.013504232933627,-0.25,0.24,"",-0.01,"-.01","-.25",".24","-.01 [-.25,.24]",9
"23","SR-Prop","masqGDA","Bad",0,-0.145281929196916,-0.41,0.14,"",-0.15,"-.15","-.41",".14","-.15 [-.41,.14]",8
"24","SR-Prop","masqGDA","Good",0,0.03229701834244,-0.19,0.27,"",0.03," .03","-.19",".27"," .03 [-.19,.27]",8
"25","SR-Prop","prdep_tot","Bad",0,-0.0956172135520787,-0.4,0.28,"",-0.1,"-.10","-.40",".28","-.10 [-.40,.28]",13
"26","SR-Prop","prdep_tot","Good",0,-0.0281071509297061,-0.39,0.31,"",-0.03,"-.03","-.39",".31","-.03 [-.39,.31]",13
"27","SR-Prop","shaps_tot","Bad",2,0.0375834183628791,-0.29,0.4,"",0.04," .04","-.29",".40"," .04 [-.29,.40]",12
"28","SR-Prop","shaps_tot","Good",2,-0.137604066738478,-0.36,0.17,"",-0.14,"-.14","-.36",".17","-.14 [-.36,.17]",12
"29","SR-Prop","panas_na","Bad",2,-0.140670139031177,-0.43,0.19,"",-0.14,"-.14","-.43",".19","-.14 [-.43,.19]",7
"30","SR-Prop","panas_na","Good",2,-0.0758323273856952,-0.4,0.23,"",-0.08,"-.08","-.40",".23","-.08 [-.40,.23]",7
"31","SR-Prop","panas_pa","Bad",2,0.0782234419851042,-0.24,0.4,"",0.08," .08","-.24",".40"," .08 [-.24,.40]",6
"32","SR-Prop","panas_pa","Good",2,0.157421788524121,-0.12,0.4,"",0.16," .16","-.12",".40"," .16 [-.12,.40]",6
"33","SR-Prop","bis","Bad",2,-0.0638357456900664,-0.44,0.37,"",-0.06,"-.06","-.44",".37","-.06 [-.44,.37]",5
"34","SR-Prop","bis","Good",2,-0.0560379031144303,-0.5,0.31,"",-0.06,"-.06","-.50",".31","-.06 [-.50,.31]",5
"35","SR-Prop","basrewres","Bad",2,-0.196265192489627,-0.44,0.06,"",-0.2,"-.20","-.44",".06","-.20 [-.44,.06]",4
"36","SR-Prop","basrewres","Good",2,-0.185472730215746,-0.45,0.11,"",-0.19,"-.19","-.45",".11","-.19 [-.45,.11]",4
"37","SR-Prop","basfunsk","Bad",2,0.0503611884683069,-0.32,0.4,"",0.05," .05","-.32",".40"," .05 [-.32,.40]",3
"38","SR-Prop","basfunsk","Good",2,0.178687719318244,-0.21,0.52,"",0.18," .18","-.21",".52"," .18 [-.21,.52]",3
"39","SR-Prop","basdrive","Bad",2,0.0878776258904844,-0.27,0.52,"",0.09," .09","-.27",".52"," .09 [-.27,.52]",2
"40","SR-Prop","basdrive","Good",2,-0.0656948498895822,-0.55,0.57,"",-0.07,"-.07","-.55",".57","-.07 [-.55,.57]",2
"41","SR-Prop","bastot","Bad",2,0.000120437911321351,-0.28,0.35,"",0,"-.00","-.28",".35","-.00 [-.28,.35]",1
"42","SR-Prop","bastot","Good",2,-0.0243340881311479,-0.41,0.44,"",-0.02,"-.02","-.41",".44","-.02 [-.41,.44]",1
"43","SR-Prop","shaps_tot","Bad",1,-0.0963030024814817,-0.41,0.14,"",-0.1,"-.10","-.41",".14","-.10 [-.41,.14]",12
"44","SR-Prop","shaps_tot","Good",1,-0.0471829314454922,-0.26,0.17,"",-0.05,"-.05","-.26",".17","-.05 [-.26,.17]",12
"45","SR-Prop","panas_na","Bad",1,-0.322175578721193,-0.55,-0.08,"*",-0.32,"-.32","-.55","-.08","-.32 [-.55,-.08]",7
"46","SR-Prop","panas_na","Good",1,-0.130551353147079,-0.38,0.12,"",-0.13,"-.13","-.38",".12","-.13 [-.38,.12]",7
"47","SR-Prop","panas_pa","Bad",1,0.209915713453989,-0.2,0.49,"",0.21," .21","-.20",".49"," .21 [-.20,.49]",6
"48","SR-Prop","panas_pa","Good",1,-0.0856621754775318,-0.35,0.21,"",-0.09,"-.09","-.35",".21","-.09 [-.35,.21]",6
"49","SR-Prop","bis","Bad",1,-0.0913605388496222,-0.33,0.19,"",-0.09,"-.09","-.33",".19","-.09 [-.33,.19]",5
"50","SR-Prop","bis","Good",1,0.209863510348766,-0.1,0.48,"",0.21," .21","-.10",".48"," .21 [-.10,.48]",5
"51","SR-Prop","basrewres","Bad",1,0.185561311697519,-0.06,0.43,"",0.19," .19","-.06",".43"," .19 [-.06,.43]",4
"52","SR-Prop","basrewres","Good",1,-0.15211508993709,-0.38,0.09,"",-0.15,"-.15","-.38",".09","-.15 [-.38,.09]",4
"53","SR-Prop","basfunsk","Bad",1,-0.108937580137948,-0.46,0.23,"",-0.11,"-.11","-.46",".23","-.11 [-.46,.23]",3
"54","SR-Prop","basfunsk","Good",1,0.0365592882494617,-0.25,0.33,"",0.04," .04","-.25",".33"," .04 [-.25,.33]",3
"55","SR-Prop","basdrive","Bad",1,0.119720425955276,-0.16,0.43,"",0.12," .12","-.16",".43"," .12 [-.16,.43]",2
"56","SR-Prop","basdrive","Good",1,-0.249423209624312,-0.51,0.06,"",-0.25,"-.25","-.51",".06","-.25 [-.51,.06]",2
"57","SR-Prop","bastot","Bad",1,0.0871775794110035,-0.22,0.36,"",0.09," .09","-.22",".36"," .09 [-.22,.36]",1
"58","SR-Prop","bastot","Good",1,-0.166791030384815,-0.41,0.12,"",-0.17,"-.17","-.41",".12","-.17 [-.41,.12]",1
"59","SR-Prop","masqAD","Bad",1,-0.167574644749407,-0.45,0.22,"",-0.17,"-.17","-.45",".22","-.17 [-.45,.22]",11
"60","SR-Prop","masqAD","Good",1,0.0897046215585248,-0.24,0.38,"",0.09," .09","-.24",".38"," .09 [-.24,.38]",11
"61","SR-Prop","masqGDD","Bad",1,-0.19938281317771,-0.48,0.25,"",-0.2,"-.20","-.48",".25","-.20 [-.48,.25]",10
"62","SR-Prop","masqGDD","Good",1,0.112737926551505,-0.17,0.39,"",0.11," .11","-.17",".39"," .11 [-.17,.39]",10
"63","SR-Prop","masqAA","Bad",1,-0.157716195603167,-0.44,0.1,"",-0.16,"-.16","-.44",".10","-.16 [-.44,.10]",9
"64","SR-Prop","masqAA","Good",1,0.0545375210384542,-0.18,0.3,"",0.05," .05","-.18",".30"," .05 [-.18,.30]",9
"65","SR-Prop","masqGDA","Bad",1,-0.252481012882941,-0.49,0.04,"",-0.25,"-.25","-.49",".04","-.25 [-.49,.04]",8
"66","SR-Prop","masqGDA","Good",1,0.110075221061355,-0.14,0.37,"",0.11," .11","-.14",".37"," .11 [-.14,.37]",8
"67","SR-Prop","prdep_tot","Bad",1,-0.097557683845557,-0.38,0.3,"",-0.1,"-.10","-.38",".30","-.10 [-.38,.30]",13
"68","SR-Prop","prdep_tot","Good",1,0.132321392990601,-0.21,0.42,"",0.13," .13","-.21",".42"," .13 [-.21,.42]",13
"69","SR-ORL","shaps_tot","K",0,-0.0293761247484451,-0.26,0.11,"",-0.03,"-.03","-.26",".11","-.03 [-.26,.11]",12
"70","SR-ORL","shaps_tot","betaP",0,-0.0776649298542516,-0.3,0.16,"",-0.08,"-.08","-.30",".16","-.08 [-.30,.16]",12
"71","SR-ORL","shaps_tot","betaF",0,-0.150715296965088,-0.46,0.27,"",-0.15,"-.15","-.46",".27","-.15 [-.46,.27]",12
"72","SR-ORL","shaps_tot","Apun",0,0.0853154012242677,-0.1,0.27,"",0.09," .09","-.10",".27"," .09 [-.10,.27]",12
"73","SR-ORL","shaps_tot","Arew",0,0.0533650406367472,-0.43,0.32,"",0.05," .05","-.43",".32"," .05 [-.43,.32]",12
"74","SR-ORL","panas_na","K",0,0.157081442971753,-0.09,0.39,"",0.16," .16","-.09",".39"," .16 [-.09,.39]",7
"75","SR-ORL","panas_na","betaP",0,-0.00481370550462519,-0.29,0.2,"",0,"-.00","-.29",".20","-.00 [-.29,.20]",7
"76","SR-ORL","panas_na","betaF",0,-0.191456761734445,-0.44,0.06,"",-0.19,"-.19","-.44",".06","-.19 [-.44,.06]",7
"77","SR-ORL","panas_na","Apun",0,0.248885038500115,-0.05,0.54,"",0.25," .25","-.05",".54"," .25 [-.05,.54]",7
"78","SR-ORL","panas_na","Arew",0,-0.225584884924644,-0.39,-0.05,"*",-0.23,"-.23","-.39","-.05","-.23 [-.39,-.05]",7
"79","SR-ORL","panas_pa","K",0,-0.0829221372099654,-0.24,0.15,"",-0.08,"-.08","-.24",".15","-.08 [-.24,.15]",6
"80","SR-ORL","panas_pa","betaP",0,0.0524164805035012,-0.19,0.31,"",0.05," .05","-.19",".31"," .05 [-.19,.31]",6
"81","SR-ORL","panas_pa","betaF",0,-0.184715741158989,-0.42,0.06,"",-0.18,"-.18","-.42",".06","-.18 [-.42,.06]",6
"82","SR-ORL","panas_pa","Apun",0,0.0450795926236023,-0.2,0.3,"",0.05," .05","-.20",".30"," .05 [-.20,.30]",6
"83","SR-ORL","panas_pa","Arew",0,0.155842818005344,-0.13,0.36,"",0.16," .16","-.13",".36"," .16 [-.13,.36]",6
"84","SR-ORL","bis","K",0,0.15697972126765,-0.13,0.48,"",0.16," .16","-.13",".48"," .16 [-.13,.48]",5
"85","SR-ORL","bis","betaP",0,0.0524561013435664,-0.32,0.35,"",0.05," .05","-.32",".35"," .05 [-.32,.35]",5
"86","SR-ORL","bis","betaF",0,0.125753723830707,-0.15,0.38,"",0.13," .13","-.15",".38"," .13 [-.15,.38]",5
"87","SR-ORL","bis","Apun",0,0.0335073945004819,-0.23,0.27,"",0.03," .03","-.23",".27"," .03 [-.23,.27]",5
"88","SR-ORL","bis","Arew",0,-0.292706366197024,-0.53,-0.04,"*",-0.29,"-.29","-.53","-.04","-.29 [-.53,-.04]",5
"89","SR-ORL","basrewres","K",0,-0.0148868382866065,-0.24,0.23,"",-0.01,"-.01","-.24",".23","-.01 [-.24,.23]",4
"90","SR-ORL","basrewres","betaP",0,-0.179782384915756,-0.37,0.04,"",-0.18,"-.18","-.37",".04","-.18 [-.37,.04]",4
"91","SR-ORL","basrewres","betaF",0,0.0176173815831721,-0.27,0.33,"",0.02," .02","-.27",".33"," .02 [-.27,.33]",4
"92","SR-ORL","basrewres","Apun",0,-0.0608341103562545,-0.34,0.24,"",-0.06,"-.06","-.34",".24","-.06 [-.34,.24]",4
"93","SR-ORL","basrewres","Arew",0,0.286661477334333,0.04,0.48,"*",0.29," .29",".04",".48"," .29 [.04,.48]",4
"94","SR-ORL","basfunsk","K",0,-0.270148182830302,-0.62,0.26,"",-0.27,"-.27","-.62",".26","-.27 [-.62,.26]",3
"95","SR-ORL","basfunsk","betaP",0,0.234936300578547,-0.14,0.56,"",0.23," .23","-.14",".56"," .23 [-.14,.56]",3
"96","SR-ORL","basfunsk","betaF",0,-0.0437489195354883,-0.28,0.23,"",-0.04,"-.04","-.28",".23","-.04 [-.28,.23]",3
"97","SR-ORL","basfunsk","Apun",0,0.269260730005901,0.02,0.46,"*",0.27," .27",".02",".46"," .27 [.02,.46]",3
"98","SR-ORL","basfunsk","Arew",0,-0.087484337877846,-0.42,0.17,"",-0.09,"-.09","-.42",".17","-.09 [-.42,.17]",3
"99","SR-ORL","basdrive","K",0,-0.292658435473945,-0.58,0.11,"",-0.29,"-.29","-.58",".11","-.29 [-.58,.11]",2
"100","SR-ORL","basdrive","betaP",0,-0.0884677285862426,-0.51,0.37,"",-0.09,"-.09","-.51",".37","-.09 [-.51,.37]",2
