"","parameter","session","estimate"
"1","Apun",1,0.08912703645864
"2","Apun",2,0.114357612921009
"3","Arew",1,0.136281934750311
"4","Arew",2,0.0752800232753414
"5","K",1,0.0812062774542712
"6","K",2,0.0520295715653901
"7","betaF",1,1.13134433493669
"8","betaF",2,1.2717890417723
"9","betaP",1,0.671718898767843
"10","betaP",2,1.09785765736322
