"","task","parameter","self_report","r","p_cor","sig_cor"
"cor...70","IGT","betaB","LSAS",-0.0108628361743474,0.883326634223476,""
"cor...71","IGT","betaB","BIS",-0.0976852096061449,0.184693276986376,""
"cor...72","IGT","betaB","STAI",-0.0889495154091987,0.229856337857175,""
"cor...73","IGT","betaB","PRMD",-0.0501391067297543,0.499097573360685,""
"cor...74","IGT","betaB","CESD",-0.0446111027102545,0.545435543805959,""
"cor...75","IGT","betaB","PANAS_P",-0.0229462407990551,0.756539618505593,""
"cor...76","IGT","betaB","MPQ_WB",-0.0599896808755841,0.417280473605043,""
"cor...77","IGT","betaB","BAS",-0.063237526650462,0.39117440210686,""
"cor...78","IGT","betaB","TEPS",0.0660932169014801,0.372715975283292,""
"cor...79","IGT","betaB","SHAPS",0.0602030422866435,0.415622860406903,""
"cor...80","IGT","betaB","RPAS",-0.0592866988493207,0.424042904647111,""
"cor...81","IGT","betaB","FCPS",-0.0106543709415574,0.885239267075037,""
"cor...82","IGT","betaB","RSAS",-0.0552821591425822,0.457307643785609,""
"cor...83","IGT","betaB","MPQ_SC",0.0640977859869165,0.386047858581287,""
"cor...84","IGT","betaB","BAPQ_S",-0.0378266082674004,0.608236804515637,""
"cor...85","IGT","betaB","ACIPS",0.0683752710503438,0.369996148062194,""
"cor...86","IGT","betaF","SPS",0.0422978749911117,0.568608867907497,""
"cor...87","IGT","betaF","LSAS",0.113321567632588,0.124576510815097,""
"cor...88","IGT","betaF","BIS",0.0480827254040944,0.514583521591559,""
"cor...89","IGT","betaF","STAI",-0.0348274600213433,0.638822616764899,""
"cor...90","IGT","betaF","PRMD",-0.0289628618483222,0.69633252369194,""
"cor...91","IGT","betaF","CESD",0.0399508657151957,0.588231676084496,""
"cor...92","IGT","betaF","PANAS_P",-0.0155199908055059,0.833920123974999,""
"cor...93","IGT","betaF","MPQ_WB",-0.0550947989566136,0.456358084007815,""
"cor...94","IGT","betaF","BAS",-0.0158245722667105,0.830253139526733,""
"cor...95","IGT","betaF","TEPS",0.076972547366686,0.299022134556603,""
"cor...96","IGT","betaF","SHAPS",0.00295912879572185,0.968112426638145,""
"cor...97","IGT","betaF","RPAS",-0.0810798864021784,0.273898637248047,""
"cor...98","IGT","betaF","FCPS",0.0129297463382772,0.860956426992673,""
"cor...99","IGT","betaF","RSAS",-0.0960921728861672,0.195665364842997,""
"cor...100","IGT","betaF","MPQ_SC",-0.000812521980882118,0.991242124234943,""
"cor...101","IGT","betaF","BAPQ_S",-0.0325847518225702,0.658837866004266,""
"cor...102","IGT","betaF","ACIPS",-0.0336267563142088,0.659578730764436,""
"cor...103","IGT","Apun","SPS",-0.101029225292335,0.172384487861987,""
"cor...104","IGT","Apun","LSAS",-0.0390138522042126,0.598020047016421,""
"cor...105","IGT","Apun","BIS",-0.047691473113248,0.518015016429768,""
"cor...106","IGT","Apun","STAI",-0.0655794784779408,0.376451359862713,""
"cor...107","IGT","Apun","PRMD",-0.152679442281997,0.0385388081381321,"*"
"cor...108","IGT","Apun","CESD",-0.139884401560096,0.0568735244637392,""
"cor...109","IGT","Apun","PANAS_P",-0.0115301510976594,0.876214920767748,""
"cor...110","IGT","Apun","MPQ_WB",0.021116466369842,0.775414228600037,""
"cor...111","IGT","Apun","BAS",-0.0591392604768283,0.422658899965902,""
"cor...112","IGT","Apun","TEPS",-0.00946986233645537,0.898479046613335,""
"cor...113","IGT","Apun","SHAPS",-0.0339133887067668,0.64675316938412,""
"cor...114","IGT","Apun","RPAS",0.0245019423965268,0.7412903125285,""
"cor...115","IGT","Apun","FCPS",-0.100594624211329,0.171892800007114,""
"cor...116","IGT","Apun","RSAS",-0.0113444242990257,0.878857366381575,""
"cor...117","IGT","Apun","MPQ_SC",0.0328997969504363,0.656628355746109,""
"cor...118","IGT","Apun","BAPQ_S",-0.0521997925818443,0.479197632076554,""
"cor...119","IGT","Apun","ACIPS",0.00567159214122799,0.94079173100473,""
"cor...120","IGT","Arew","SPS",0.140479921827533,0.0571686557477771,""
"cor...121","IGT","Arew","LSAS",0.0645953669114187,0.38236349962566,""
"cor...122","IGT","Arew","BIS",0.187396381044775,0.0104296894162408,"*"
"cor...123","IGT","Arew","STAI",0.140867483328954,0.0564792435205044,""
"cor...124","IGT","Arew","PRMD",0.158925477699547,0.0311780497790347,"*"
"cor...125","IGT","Arew","CESD",0.127822233676001,0.0820963324681634,""
"cor...126","IGT","Arew","PANAS_P",-0.000108356100900585,0.998832046571297,""
"cor...127","IGT","Arew","MPQ_WB",0.0855417507054679,0.246973835556527,""
"cor...128","IGT","Arew","BAS",0.0815695936877961,0.268377394948999,""
"cor...129","IGT","Arew","TEPS",0.0755045062624688,0.308360522533433,""
"cor...130","IGT","Arew","SHAPS",0.0217367344072901,0.769000624648107,""
"cor...131","IGT","Arew","RPAS",-0.0772857280889072,0.297054438522702,""
"cor...132","IGT","Arew","FCPS",0.0361752587909804,0.623992854388078,""
"cor...133","IGT","Arew","RSAS",-0.0781023898416337,0.293297117212806,""
"cor...134","IGT","Arew","MPQ_SC",0.0152073287583024,0.8372190210226,""
"cor...135","IGT","Arew","BAPQ_S",0.0683077802413725,0.354240045449067,""
"cor...136","IGT","Arew","ACIPS",-0.0503386871346643,0.509481529584297,""
