"","task","parameter","self_report","r","p_cor","sig_cor"
"cor...70","IGT","betaB","LSAS",-0.0138715195840976,0.850541666787566,""
"cor...71","IGT","betaB","BIS",-0.0912803025247236,0.212827611669646,""
"cor...72","IGT","betaB","STAI",-0.0991100708467996,0.178339557767641,""
"cor...73","IGT","betaB","PRMD",-0.0385058841033607,0.601807062950552,""
"cor...74","IGT","betaB","CESD",-0.0510676597871499,0.486435807057596,""
"cor...75","IGT","betaB","PANAS_P",0.00875746393232057,0.905310362957754,""
"cor...76","IGT","betaB","MPQ_WB",-0.0474643470123991,0.518877405639299,""
"cor...77","IGT","betaB","BAS",-0.0577876078097485,0.430861745404503,""
"cor...78","IGT","betaB","TEPS",0.0827422036535891,0.26153418355592,""
"cor...79","IGT","betaB","SHAPS",0.063773631584531,0.38587248399833,""
"cor...80","IGT","betaB","RPAS",-0.0721967808046766,0.327444762108032,""
"cor...81","IGT","betaB","FCPS",-0.011118794334934,0.879627738065613,""
"cor...82","IGT","betaB","RSAS",-0.0676066017753998,0.360525982774271,""
"cor...83","IGT","betaB","MPQ_SC",0.0693022439938586,0.345950414266307,""
"cor...84","IGT","betaB","BAPQ_S",-0.0379790989695084,0.604837254097718,""
"cor...85","IGT","betaB","ACIPS",0.0583190133249997,0.441993753227744,""
"cor...86","IGT","betaF","SPS",0.0363010894041608,0.622786118723159,""
"cor...87","IGT","betaF","LSAS",0.121060116396379,0.098851373691401,""
"cor...88","IGT","betaF","BIS",0.0442458012601737,0.546563810748936,""
"cor...89","IGT","betaF","STAI",-0.0383333094863496,0.60343770023891,""
"cor...90","IGT","betaF","PRMD",-0.0149765236655018,0.839223354370606,""
"cor...91","IGT","betaF","CESD",0.0410356441424401,0.576069271173299,""
"cor...92","IGT","betaF","PANAS_P",-0.0256076242924215,0.727924254177631,""
"cor...93","IGT","betaF","MPQ_WB",-0.0593249251257266,0.419938913471051,""
"cor...94","IGT","betaF","BAS",-0.0241251997738396,0.742435544964533,""
"cor...95","IGT","betaF","TEPS",0.0926882115924726,0.208287789987007,""
"cor...96","IGT","betaF","SHAPS",0.0080305134919263,0.913138206270468,""
"cor...97","IGT","betaF","RPAS",-0.09984240815395,0.175137385242845,""
"cor...98","IGT","betaF","FCPS",0.00155099592093512,0.983146448777353,""
"cor...99","IGT","betaF","RSAS",-0.0967508679007947,0.190158484841895,""
"cor...100","IGT","betaF","MPQ_SC",-0.0103518809257365,0.888174547916707,""
"cor...101","IGT","betaF","BAPQ_S",-0.031251496763465,0.670293566587621,""
"cor...102","IGT","betaF","ACIPS",-0.0444839771864214,0.557719748817256,""
"cor...103","IGT","Apun","SPS",-0.0933933663197545,0.2048328571406,""
"cor...104","IGT","Apun","LSAS",-0.0268916037757789,0.714859483629808,""
"cor...105","IGT","Apun","BIS",-0.0415604249133916,0.571195250182061,""
"cor...106","IGT","Apun","STAI",-0.0722074542185096,0.327373065985295,""
"cor...107","IGT","Apun","PRMD",-0.140270874641671,0.0561853422645774,""
"cor...108","IGT","Apun","CESD",-0.147781353586858,0.0429816641598219,"*"
"cor...109","IGT","Apun","PANAS_P",0.0123808001144071,0.866444721584606,""
"cor...110","IGT","Apun","MPQ_WB",0.0289295761170894,0.694293118406475,""
"cor...111","IGT","Apun","BAS",-0.0672491450712441,0.359162174229636,""
"cor...112","IGT","Apun","TEPS",0.00102677787226257,0.988902592998314,""
"cor...113","IGT","Apun","SHAPS",-0.0469590603224329,0.523342224512678,""
"cor...114","IGT","Apun","RPAS",0.0207402270541806,0.778723917620751,""
"cor...115","IGT","Apun","FCPS",-0.0944351401144083,0.197371495756766,""
"cor...116","IGT","Apun","RSAS",-0.0343441823046148,0.642574533618538,""
"cor...117","IGT","Apun","MPQ_SC",0.0487797369469974,0.507346560872799,""
"cor...118","IGT","Apun","BAPQ_S",-0.0597078976359413,0.415679375285478,""
"cor...119","IGT","Apun","ACIPS",0.0264633331114426,0.727363170960929,""
"cor...120","IGT","Arew","SPS",0.201984575929281,0.00569775634090556,"*"
"cor...121","IGT","Arew","LSAS",0.102515221329148,0.162667546566916,""
"cor...122","IGT","Arew","BIS",0.144671092175971,0.0476099225423255,"*"
"cor...123","IGT","Arew","STAI",0.134593418939068,0.0670143098723144,""
"cor...124","IGT","Arew","PRMD",0.190023342602669,0.00938187740743705,"*"
"cor...125","IGT","Arew","CESD",0.133384131123506,0.0680257253666739,""
"cor...126","IGT","Arew","PANAS_P",-0.0494688163734449,0.501359741502139,""
"cor...127","IGT","Arew","MPQ_WB",0.0447209177451118,0.543351304716877,""
"cor...128","IGT","Arew","BAS",-0.0052781451901568,0.942690947321196,""
"cor...129","IGT","Arew","TEPS",0.0394970628689127,0.592479953014203,""
"cor...130","IGT","Arew","SHAPS",-0.00414586673478492,0.955091685655188,""
"cor...131","IGT","Arew","RPAS",-0.023617340389114,0.748990419191377,""
"cor...132","IGT","Arew","FCPS",0.0103525559933785,0.887866643052107,""
"cor...133","IGT","Arew","RSAS",-0.0629761464653944,0.394431576000275,""
"cor...134","IGT","Arew","MPQ_SC",0.0263027217910302,0.720841469463989,""
"cor...135","IGT","Arew","BAPQ_S",0.0626172243659315,0.393284444691763,""
"cor...136","IGT","Arew","ACIPS",-0.0309497350342654,0.683445023601781,""
