"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"ORL_woK",0,0,-8775.05944355651,194.852618198998,346.832362360354,13.7416066158337,17550.118887113,389.705236397996
"ORL",-56.4335500385368,26.7201558305651,-8831.49299359505,191.95253357967,354.550523936538,15.1935640023472,17662.9859871901,383.90506715934
