ID,Arew,Apun,betaF,betaB,Arew_qnormed,Apun_qnormed
5000,0.076925218,0.044215619,-1.154376585,1.21672441,-1.686625581,-1.790047994
5010,0.071313256,0.032194743,-1.03236517,0.669757987,-1.662749583,-1.94102022
5014,0.12958445,0.146106469,7.39215918,0.795404387,-1.152341621,-1.066154907
5015,0.225925003,0.028500091,2.487369203,1.33446136,-0.95388345,-2.034084485
5016,0.095758678,0.032574702,1.39976079,0.805385591,-1.469479029,-1.943093698
5018,0.096134191,0.039835822,0.010440291,1.01804562,-1.499786409,-1.84278786
5019,0.027562416,0.061231972,2.099658646,1.051201421,-2.120556966,-1.593802383
5021,0.090788804,0.042433409,-1.711120365,0.495505591,-1.578364055,-1.804272129
5024,0.217535907,0.1163206,4.043350808,0.70585672,-0.824759577,-1.217536152
5027,0.147958704,0.03691707,-1.185409314,0.706936442,-1.357266337,-1.891934922
5029,0.040451901,0.044286977,1.275669434,0.082815732,-1.96412995,-1.801095806
5030,0.068699836,0.039335009,-2.429114677,0.761128617,-1.662979378,-1.851038808
5033,0.202835364,0.029029375,0.100897984,1.082499663,-0.996694875,-1.995925712
5042,0.056855701,0.051315674,2.385794327,0.592114241,-1.728617514,-1.701343493
5043,0.027955204,0.043949102,2.871064255,0.595211393,-2.173689458,-1.774550128
5045,0.036581311,0.1058189,2.56178147,0.735360205,-1.900916724,-1.307953407
5055,0.090007176,0.028870894,-1.000523503,0.874643188,-1.60829893,-1.989526759
5061,0.10039099,0.061481706,-1.221208491,0.609721342,-1.494904268,-1.648578476
5062,0.068673187,0.030379425,-0.188180384,0.857068039,-1.689284554,-1.974306725
5063,0.063798786,0.042620226,1.340161429,0.312448429,-1.703327467,-1.806555152
5065,0.072384972,0.0341824,-0.474148349,0.59268305,-1.658672436,-1.924581124
5066,0.139929384,0.035652693,1.254525355,1.253051291,-1.211417839,-1.903967373
5070,0.123619953,0.100588409,4.875283651,0.782928765,-1.197543522,-1.304796555
5078,0.09916267,0.025958339,2.415400947,1.214002127,-1.441614393,-2.047685969
5082,0.008903188,0.057281651,5.077667031,1.105828896,-2.571347797,-1.629551088
5093,0.108747619,0.036532682,-2.196101715,0.800279139,-1.370836991,-1.891808804
5096,0.121344768,0.043684138,3.76818763,1.100788088,-1.257290769,-1.793059681
5105,0.032357523,0.036257227,2.821769089,0.759370557,-2.05055683,-1.866000057
5110,0.094844053,0.019071185,0.946271222,0.781700023,-1.500537405,-2.187960003
5114,0.034366036,0.037538202,2.621281689,0.458354147,-2.150604238,-1.865078578
5116,0.079648029,0.058913206,3.869055862,1.012079775,-1.466913379,-1.601337922
5120,0.157343212,0.042602551,-0.978903206,0.882190395,-1.218942876,-1.826310502
5121,0.077772563,0.058556655,4.409965723,0.625452327,-1.484482389,-1.610454349
5132,0.183446839,0.172465756,8.635000527,0.84896456,-0.919403778,-0.955997913
5138,0.066253467,0.050954031,10.90058122,0.910130198,-1.527840714,-1.651102158
5140,0.081352796,0.060949155,2.661223381,0.567728728,-1.521296346,-1.624322611
5148,0.176473277,0.106765826,7.70560408,1.069202895,-0.958329545,-1.263465221
5150,0.075039943,0.10108803,3.691675723,1.078091469,-1.514741229,-1.309584651
5151,0.059143942,0.020520621,2.31100507,0.333657195,-1.684347942,-2.145732186
5152,0.096756223,0.036934835,-0.868569055,0.810431143,-1.513663664,-1.882566228
5154,0.107847669,0.081252253,7.556472832,0.531839103,-1.263789667,-1.419751462
5156,0.078714298,0.030130278,0.506167793,0.57988328,-1.69465125,-1.969376872
5162,0.049156158,0.067383061,-2.499881421,1.517839236,-1.854779914,-1.549920763
5164,0.143114385,0.022688596,1.978071354,0.985002117,-1.201066641,-2.104443258
5168,0.083653941,0.064674352,-1.265578587,1.002749516,-1.549686467,-1.606135304
5174,0.088197169,0.03337205,-0.920991931,0.594334388,-1.60432172,-1.928109011
5175,0.172131307,0.024719653,-0.097660312,0.66194213,-1.079835016,-2.066948739
5178,0.254649644,0.063001984,0.999920345,1.024717153,-0.820690341,-1.647239524
5179,0.109735594,0.020364294,4.267474079,0.885404581,-1.294360079,-2.13747115
5183,0.064417195,0.038235777,1.188065235,0.563888229,-1.69022079,-1.853120015
5186,0.115428566,0.044328288,-2.805955305,0.944127755,-1.350567361,-1.786914675
5191,0.062277128,0.12037937,3.413987829,0.637924568,-1.661724017,-1.215523368
5193,0.119123507,0.037571356,-0.44330488,1.358899061,-1.404925938,-1.872515562
5197,0.1265285,0.035765925,0.476446804,1.435484593,-1.325383731,-1.897656257
5198,0.102338415,0.030529416,-3.060365313,0.611268429,-1.385495112,-1.962067442
5199,0.050013835,0.046560517,7.731188334,0.449858898,-1.679326608,-1.710370667
5213,0.240718076,0.069205562,2.379927894,1.178717552,-0.786418628,-1.539976425
5218,0.07029466,0.027294946,2.863116785,0.290066549,-1.575797749,-2.018762291
5232,0.126095735,0.048688834,0.667676879,0.856148117,-1.322132211,-1.758172859
5235,0.173504638,0.097966588,5.585776602,0.798832639,-1.029654362,-1.32361786
5239,0.109714936,0.065624556,3.340588452,1.093628105,-1.311177442,-1.557529938
5240,0.121124152,0.019724246,3.11237612,0.806153817,-1.260623648,-2.156609801
5246,0.023336909,0.155776642,-3.185468934,1.163447598,-2.150046382,-1.025012088
5248,0.054106419,0.060907809,-1.249899493,1.228613814,-1.804402664,-1.622276284
5253,0.151483383,0.026872702,2.786085227,1.369457316,-1.182636116,-2.048582635
5259,0.0476138,0.031545982,3.958092031,0.532195967,-1.750795891,-1.921322519
5272,0.089965393,0.038282781,-1.242098449,0.426096008,-1.539965099,-1.863811113
5274,0.123007154,0.033134647,0.384774808,1.121390015,-1.343272649,-1.955419202
5277,0.100401944,0.080574656,6.098030208,0.780429823,-1.326460322,-1.433790813
5281,0.018732038,0.081331971,4.038032805,0.131407517,-2.24174468,-1.449035338
5282,0.112421375,0.094417369,6.626781819,1.102082166,-1.247120102,-1.33599509
5288,0.097841097,0.026815828,-1.001659527,0.532774639,-1.48935722,-2.026519202
5292,0.149227096,0.026126282,-0.984898669,0.698291068,-1.233887984,-2.038355836
5297,0.289043589,0.138858218,4.8717829,1.306462725,-0.58064599,-1.102962193
5298,0.188371358,0.032621907,3.294579048,1.067148963,-0.964103339,-1.929323569
5300,0.106656319,0.043991014,-0.112831386,1.237432849,-1.461280031,-1.788924849
5305,0.138057656,0.044827537,0.878025391,1.188139641,-1.24812438,-1.773594281
5307,0.156467229,0.047198327,1.991831023,1.017193083,-1.144673891,-1.747480058
5308,0.145351244,0.02979725,0.123944595,0.881010827,-1.320825794,-2.010107542
5312,0.121934274,0.076646079,5.339284672,1.07682365,-1.203381875,-1.45848462
5316,0.034005049,0.084285173,-2.432898484,0.871204905,-2.060273406,-1.413032795
5319,0.098444753,0.038386544,-0.595840294,0.488637125,-1.489836911,-1.855525838
5322,0.017049889,0.109857795,-4.473891667,0.958951991,-2.293457417,-1.251301669
5327,0.134916735,0.07753506,-3.775318846,0.550393303,-1.210248125,-1.490583782
5330,0.066011862,0.038632592,-0.75022405,0.383813753,-1.734557497,-1.867971427
