"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"ORL_woK",0,0,-4576.1224074326,165.975338703651,211.081936154791,9.62594483281331,9152.2448148652,331.950677407302
"ORL",-72.7905312472805,20.8728719366974,-4648.91293867988,161.557478805965,228.363729435413,14.3245476104016,9297.82587735976,323.114957611931
