"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"ORL_woK",0,0,-11460.4568243545,199.5471448798,404.918497582724,13.1537396964339,22920.9136487089,399.094289759601
"ORL",-34.7017925976042,21.1191336327044,-11495.1586169521,196.562660618699,437.152283639355,16.7510291260224,22990.3172339041,393.125321237398
