"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"ORL_woK",0,0,-6752.50026300157,156.385110829567,263.806033756009,18.6686283773351,13505.0005260031,312.770221659135
"ORL",-27.981761565891,26.1676052734605,-6780.48202456747,155.508307808383,298.79212882437,20.2068011394543,13560.9640491349,311.016615616766
