"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"ORL_woK",0,0,-15553.8037762001,231.602797376388,478.360349769075,15.3833063108913,31107.6075524002,463.205594752776
"ORL",-75.4889529236911,14.5557895772606,-15629.2927291238,226.532878310286,479.833985613734,15.704698220768,31258.5854582476,453.065756620573
