ID,Arew,Apun,betaF,betaB,Arew_qnormed,Apun_qnormed
5000,0.055350797,0.032004841,-0.552228029,0.532403318,-1.703614328,-1.928921967
5001,0.050198781,0.068438445,4.447376511,0.414277613,-1.691277193,-1.519770432
5003,0.076267671,0.024855731,0.301001869,0.505012746,-1.530923975,-2.044162118
5007,0.049713545,0.046546061,1.797813654,1.325898623,-1.745145046,-1.732279985
5009,0.045465524,0.038596532,1.489178542,0.501359291,-1.7826395,-1.84096415
5012,0.127219183,0.099317954,6.972663042,0.982947694,-1.166311566,-1.306379718
5014,0.06515156,0.066521848,4.124849183,0.450535411,-1.583318943,-1.538459469
5015,0.066783371,0.07829272,-0.23907275,1.422998944,-1.607724857,-1.461399429
5018,0.067433203,0.034983754,1.650520954,1.396916633,-1.591930448,-1.87561778
5019,0.071616684,0.031666217,-0.314929025,0.654179539,-1.5714057,-1.935981211
5020,0.039744452,0.041959215,3.652962118,1.132321204,-1.825334455,-1.76877113
5024,0.067520198,0.057611691,2.295097462,0.61548899,-1.586195069,-1.628348559
5027,0.080413126,0.025132602,-0.007533196,0.062377665,-1.536629739,-2.038997252
5029,0.057152471,0.034180167,4.878638833,0.204681166,-1.620913162,-1.861739415
5031,0.051279305,0.039448635,1.086201704,0.594365682,-1.737401749,-1.824616777
5033,0.048861455,0.038939006,2.478417632,0.445226312,-1.752134256,-1.821464465
5037,0.036057833,0.061232357,2.873394729,1.208705479,-1.914205435,-1.590578403
5040,0.048750331,0.039711479,1.218840686,0.008293659,-1.812006057,-1.840583827
5043,0.040336431,0.042631312,3.292776883,0.111911328,-1.847037041,-1.780528885
5044,0.092234506,0.028097982,-0.714497285,0.610058975,-1.43705241,-1.996086311
5046,0.033818963,0.032511223,1.989831315,0.808871182,-2.023445421,-1.926167463
5048,0.062142584,0.0426875,-0.141732813,0.974349169,-1.648066841,-1.791703433
5055,0.082205859,0.034006327,-0.936690251,0.803124829,-1.500253454,-1.909451602
5057,0.099504456,0.025904787,0.854879408,1.477161504,-1.378690877,-2.027329746
5058,0.147694801,0.069919187,7.519743183,0.605807887,-1.07186293,-1.499758706
5062,0.067372286,0.032672016,1.660546111,0.506584214,-1.580152147,-1.915992088
5063,0.085780122,0.029818509,0.55246061,0.973165584,-1.462861509,-1.971539682
5070,0.067484917,0.057491786,3.989774142,0.788583991,-1.539407916,-1.610228228
5071,0.069453562,0.03746405,-1.594637809,0.564590123,-1.587628552,-1.857971544
5077,0.08178616,0.032040195,-1.492285938,0.17451787,-1.492942313,-1.934811378
5079,0.060847031,0.030060705,-0.947794005,0.637125338,-1.653978981,-1.960006896
5082,0.056268911,0.043973959,0.287629623,1.100647915,-1.681554404,-1.783757929
5085,0.068573563,0.022342573,1.217271111,0.707039643,-1.571513694,-2.093900992
5090,0.059799363,0.040464642,2.284252811,0.940839728,-1.655591572,-1.80413426
5091,0.065474244,0.029519009,-0.040413973,0.499575365,-1.628542109,-1.966093338
5093,0.126436888,0.022598392,0.268767556,-0.091058188,-1.245956423,-2.09166305
5102,0.099957289,0.025253805,2.048046049,1.269590375,-1.356174263,-2.036456519
5103,0.081303345,0.025835125,2.283879065,0.798963531,-1.466785532,-2.024399984
5105,0.097957434,0.025255195,0.470108017,1.099339507,-1.389577562,-2.038664364
