"","scale","proportion_good"
"1","basdrive","-.07 (-.41, .23)"
"2","basfunsk","-.11 (-.42, .20)"
"3","basrewres","-.18 (-.39, .03)"
"4","bastot","-.15 (-.44, .14)"
"5","bis"," .12 (-.18, .42)"
"6","masqAA"," .15 (-.04, .34)"
"7","masqAD"," .12 (-.24, .45)"
"8","masqGDA"," .21 (-.03, .43)"
"9","masqGDD"," .17 (-.07, .43)"
"10","panas_na"," .01 (-.21, .22)"
"11","panas_pa"," .06 (-.26, .37)"
"12","prdep_tot"," .16 (-.17, .45)"
"13","shaps_tot","-.19 (-.45, .03)"
