"","correlation","mu","lower","upper","sig"
"1","bad_bis",0.0143950278397635,-0.0354432397529474,0.0672408888039157,""
"2","bad_bas_tot",0.206127899886995,0.156844992734319,0.25687008689997,"*"
"3","bad_bas_rew",0.12777785639899,0.0777937913125711,0.179889699752944,"*"
"4","bad_bas_fun",0.203725065532005,0.155750682399466,0.252863701704967,"*"
"5","bad_bas_drive",0.172625608067764,0.120665701535087,0.222291012691119,"*"
"6","good_bis",0.13758290111308,0.0941194572430597,0.179060610182922,"*"
"7","good_bas_tot",0.00336313799917001,-0.0409876517229167,0.0497906768911806,""
"8","good_bas_rew",0.0108753514436388,-0.0368930197289177,0.0553490097381209,""
"9","good_bas_fun",0.0587453959733545,0.0145676845200489,0.101633332968148,"*"
"10","good_bas_drive",-0.0577376776642008,-0.0999390198271132,-0.0108686105103565,"*"
