"","subjID","Fit_sep_sess1_Arew","Fit_sep_sess1_Apun","Fit_sep_sess1_K","Fit_sep_sess1_betaF","Fit_sep_sess1_betaP"
"1",2049,0.178992498859264,0.0774764956029108,0.0830767674509998,0.73369548601477,0.757487436029674
"2",2050,0.19281201261185,0.0837496080425142,0.0812128981244034,1.01397242251656,0.730045537646942
"3",2051,0.226135094635042,0.0269583380589972,0.0822411015370323,1.05942672077358,0.768029959434693
"4",2052,0.198547067805495,0.119771768085663,0.0825393844863974,2.01519367412492,0.410825623863562
"5",2053,0.239674053513087,0.0426712180440043,0.0671071167717678,1.6920982442476,2.17835853041319
"6",2054,0.211479634144641,0.0287634151659941,0.0914392171071193,0.820312029958426,-1.01197317345334
"7",2055,0.207547649811228,0.0317638698817779,0.0924507308983471,0.847520079868905,0.321694491523581
"8",2056,0.163300820151595,0.155759209876033,0.0847388510964667,0.685602827918811,0.448915547582093
"9",2057,0.140061563679389,0.157962711200082,0.0934444344480329,1.49653103812465,0.297479279229093
"10",2058,0.219642753975176,0.0789038649334487,0.103190746745586,1.36701616526455,1.09864883341662
"11",2060,0.25456455223531,0.0421296992844011,0.0958442056423615,1.63964793430851,1.63111202728886
"12",2061,0.149593254970409,0.143319664757842,0.0635035125061826,1.56175741559975,1.65870577298557
"13",2062,0.230868313389552,0.0271417617273774,0.0874488117618556,0.647322250957033,0.197851107227995
"14",2063,0.183941670231744,0.0241555291006139,0.100752047316112,0.813013135804665,-1.07490412673712
"15",2064,0.215082561253751,0.169431982461943,0.0721824420091352,1.38094638937475,0.865813730815659
"16",2065,0.218749942762558,0.0713218496392304,0.0817529132979412,1.00655714694753,-0.63757796230109
"17",2066,0.181314153218545,0.227916745765252,0.0886259354712486,1.01500806250197,0.670121665406927
"18",2067,0.203144019289298,0.075504136586095,0.0892618111173401,1.83112723620518,0.471232409539397
"19",2068,0.148908891411774,0.126617137526222,0.0826854134996288,1.07630531104794,1.4151613573054
"20",2069,0.246101482738466,0.0641353778721876,0.094691824517142,0.855130182151082,1.69829193746827
"21",2070,0.204516893094044,0.0529736846166801,0.0794600723003037,1.22531017579972,1.52846505942083
"22",2071,0.161810140875691,0.0928991698464268,0.0847625017721937,0.537098623831886,0.203952057533877
"23",2072,0.162444270161216,0.244601593114966,0.0850451145964807,1.52910616791024,2.30799309835666
"24",2073,0.230600628917254,0.0413787981216856,0.0850570959217358,1.10976037164247,0.805249898116114
"25",2074,0.196924665992455,0.066332466927236,0.0886744785908066,1.68335577426349,0.747337296495264
"26",2075,0.206847557956906,0.0861321813305007,0.0880096390215472,1.50965796635897,0.151806566864647
"27",2076,0.214059342726153,0.0305841704910922,0.0855881715467704,0.718914989822491,-0.470912768831775
"28",2077,0.242517488205028,0.0276003631753368,0.0872509488495164,1.47681245050275,0.456211918157737
"29",2078,0.137807395485774,0.0776238420706672,0.108717297602128,0.949694987160925,-1.96768466763935
"30",2079,0.256233810884172,0.128683766381082,0.0770995325466194,0.69564966728846,1.47002398535228
"31",2080,0.207801715129093,0.072542668422411,0.0884885543566661,1.0490163273916,0.491129277552664
"32",2081,0.160823575043934,0.076834156265438,0.0914471770472729,1.98618494992297,0.364785095466079
"33",2082,0.188714645684193,0.0322609743141328,0.0916255833067659,1.06722020735132,-0.123092440508626
"34",2084,0.180127028971095,0.233843147277943,0.06770311319316,1.52972811964534,1.23392981721437
"35",2085,0.162843882256452,0.116114729321613,0.0858639700931356,0.572087521002175,-0.364127477828303
"36",2086,0.250003573175939,0.0404125676994578,0.0723595948509381,2.11010543376671,1.94675321167995
"37",2087,0.13740968719724,0.173030525893059,0.0867907675116903,1.77140746500666,0.145077548346307
"38",2088,0.186083475893833,0.0675380581709515,0.072281923705214,2.07601286770131,0.814289418657305
"39",2089,0.134532086598057,0.0499022297721682,0.0881931910927213,0.962965060632884,0.28516720053449
"40",2090,0.181625301642786,0.0593709992966657,0.126980687716207,0.601452986284049,1.72353280824397
"41",2091,0.23608157693794,0.169566946315256,0.0879922487004103,2.39685621567367,0.195198954071164
"42",2092,0.175095444658703,0.0943305358220847,0.0861908169214644,1.13388819376023,0.407593400686133
"43",2093,0.212814269686214,0.045919364869394,0.105010787883346,0.673987298144941,0.550770204625676
"44",2094,0.248785303943516,0.0646551327723933,0.0884847045766785,0.821009810681987,0.320789372231476
"45",2095,0.169524417263727,0.0456465805040793,0.0884237984161901,0.226131005880522,0.233450022989492
"46",2096,0.157463962693826,0.0909405366635791,0.0836095103785912,0.918890398573798,0.608402078242025
"47",2097,0.21612055174996,0.184446563447046,0.0902011335589518,1.91630234496866,0.397188830051941
"48",2098,0.233457943381435,0.0683449117627668,0.0797429426677611,0.790894140027011,0.365675657289087
"49",2099,0.198358319397991,0.137175132752556,0.0884884662398312,1.69188090598763,0.33239184070426
