"","parameter","scale","type","session","r","lower","upper"
"69","K","basrewres","sum-score",2,-0.105638681922671,-0.4507,0.245
"70","K","basrewres","sum-score",1,-0.0495289872170166,-0.3398,0.1991
"71","K","basfunsk","sum-score",2,-0.182677128304671,-0.6748,0.3288
"72","K","basfunsk","sum-score",1,-0.304714935614306,-0.5883,0.05177
"73","K","basdrive","sum-score",2,-0.0706565072302283,-0.4343,0.3486
"74","K","basdrive","sum-score",1,-0.363601652565248,-0.4827,-0.04224
"75","K","bastot","sum-score",2,-0.16647655512978,-0.6389,0.3571
"76","K","bastot","sum-score",1,-0.31497372432545,-0.473,-0.01117
"77","K","masqGDD","sum-score",1,0.0273303895189603,-0.2196,0.2314
"78","K","masqAA","sum-score",1,-0.0871089015880865,-0.2396,0.1517
"79","K","masqGDA","sum-score",1,-0.0338277521498548,-0.2062,0.1426
"80","K","prdep_tot","sum-score",1,0.214938213339078,-0.1529,0.6079
"81","Apun","shaps_tot","sum-score",2,0.0543078140924876,-0.1661,0.2668
"82","Apun","shaps_tot","sum-score",1,0.0896354516220214,-0.1064,0.2619
"83","Apun","panas_na","sum-score",2,0.185462061372575,-0.127,0.5396
"84","Apun","panas_na","sum-score",1,0.221623162160597,-0.1142,0.6239
"85","Apun","panas_pa","sum-score",2,-0.0223948860240714,-0.3154,0.2723
"86","Apun","panas_pa","sum-score",1,0.0274988785914935,-0.2864,0.295
"87","Apun","bis","sum-score",2,-0.108904370044477,-0.3472,0.1615
"88","Apun","bis","sum-score",1,0.151629599663136,-0.1778,0.4278
"89","Apun","basrewres","sum-score",2,0.0149047528463012,-0.2496,0.2998
"90","Apun","basrewres","sum-score",1,-0.0916766310387285,-0.3967,0.232
"91","Apun","basfunsk","sum-score",2,0.206407648106114,-0.0296,0.4205
"92","Apun","basfunsk","sum-score",1,0.256677581061041,-0.08355,0.5032
"93","Apun","basdrive","sum-score",2,-0.0561426361576009,-0.4783,0.2667
"94","Apun","basdrive","sum-score",1,-0.0740541340974449,-0.4655,0.231
"95","Apun","bastot","sum-score",2,0.063332059122256,-0.2552,0.3396
"96","Apun","bastot","sum-score",1,0.0298726356771574,-0.2891,0.3571
"97","Apun","masqGDD","sum-score",1,0.306855663185637,-0.06725,0.6013
"98","Apun","masqAA","sum-score",1,0.198797548481968,-0.141,0.5867
"99","Apun","masqGDA","sum-score",1,0.287695191478988,-0.05857,0.6136
"100","Apun","prdep_tot","sum-score",1,-0.0473996164177483,-0.3358,0.2757
"101","Arew","shaps_tot","sum-score",2,-0.0636859977617987,-0.5122,0.3603
"102","Arew","shaps_tot","sum-score",1,0.0292641520527014,-0.5071,0.2981
"103","Arew","panas_na","sum-score",2,-0.0543715130042356,-0.3505,0.2725
"104","Arew","panas_na","sum-score",1,-0.221189652676715,-0.3776,-0.04683
"105","Arew","panas_pa","sum-score",2,0.259718706266076,-0.06036,0.5052
"106","Arew","panas_pa","sum-score",1,0.138030612240805,-0.1113,0.3695
"107","Arew","bis","sum-score",2,-0.057068545052107,-0.3383,0.2635
"108","Arew","bis","sum-score",1,-0.296694715562453,-0.5232,-0.06001
"109","Arew","basrewres","sum-score",2,-0.0784538169518272,-0.3566,0.1998
"110","Arew","basrewres","sum-score",1,0.349658470645405,0.1174,0.5171
"111","Arew","basfunsk","sum-score",2,-0.163706316129754,-0.5183,0.2201
"112","Arew","basfunsk","sum-score",1,-0.069094183594563,-0.4086,0.1814
"113","Arew","basdrive","sum-score",2,0.00654880542571849,-0.3818,0.3721
"114","Arew","basdrive","sum-score",1,0.320719664672801,-0.01468,0.5485
"115","Arew","bastot","sum-score",2,-0.0890882044722319,-0.4384,0.2634
"116","Arew","bastot","sum-score",1,0.258386721405246,-0.116,0.4866
"117","Arew","masqGDD","sum-score",1,-0.191735384718402,-0.367,0.008289
"118","Arew","masqAA","sum-score",1,-0.190812261216964,-0.3793,0.05358
"119","Arew","masqGDA","sum-score",1,-0.319980425456432,-0.4959,-0.06801
"120","Arew","prdep_tot","sum-score",1,-0.197773509143204,-0.4156,0.02721
